,block_number,from_address,to_address,isERC20
25193416,9925720,0x0000000000b3f879cb30fe243b4dfee438691c04,0xcaabd26134c4dabb12e98f29985e446dd5a5d1cf,False
41781367,12488917,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xe18f4ce1c0674135dfcf91d12d1950211fa76b8e,False
38706140,11963332,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,0x431d720aefdb0ee91f6ddaeb27ad81fae936d868,False
34851660,11226381,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0xfbfa7709f8cea66673ff5b8c0b4947e1bebcdce0,False
45842791,12799424,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,0x42917ffd1b261f086b48aa3e79ddbef98e754841,False
45002909,12710514,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xd46d9922780f7336520768493a87fce89b071c77,False
41950905,12502303,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x3e8e5b715c698023aa7063fddc463a1921cdbd2c,False
18228030,8656353,0x0000000000b3f879cb30fe243b4dfee438691c04,0x10b3996f7bc2fea601db85180a61bed98b805b53,False
46011319,12834905,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xf5200cb23fc82a7ef51b44b807ebb64db676379d,False
25194079,9925753,0x0000000000b3f879cb30fe243b4dfee438691c04,0x891fa2aa7e56417585f8def822eb6d0185df2673,False
21903598,9511453,0x0000000000b3f879cb30fe243b4dfee438691c04,0x8082eaf064c18acea58fd4015ba657a4c1265eb3,False
11358171,6920562,0x0000000000b3f879cb30fe243b4dfee438691c04,0x2c5c59dc516019a24f4967dd347e7cdd2ecfd3bd,False
11452672,6928527,0x0000000000b3f879cb30fe243b4dfee438691c04,0x11b747b10bb64f60a5f9ecf05148ac2026699da7,False
30672942,10815646,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x88018473f03aa83898a5e20fd7ccbf25f1f75c58,False
38271959,11867394,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x80df5ecabd6922ad9fd55c796f833e4546e4381b,False
38022401,11813892,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x6f4b741309f32a74e49693099da11074578fd457,False
10303815,6811108,0x4f01001cf69785d4c37f03fd87398849411ccbba,0x277d78664fcfe4d0b6de6884f9b8d8270bcc7cc4,False
39235928,12119602,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x8fdac61892e96e439c5dee61915d2bf36523175c,False
1948417,4317177,0x0000000000b3f879cb30fe243b4dfee438691c04,0x4263ce9cfaa9d4503360583d89caab4ace25b6b0,False
45220070,12720436,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xb2e2dd8565de35b8443fd80b45c1c0f98cd41f08,False
10720598,6865687,0x0000000000b3f879cb30fe243b4dfee438691c04,0x57e52e943ba2d4f3bdfa7319dd10e008716a8915,False
