block_number,transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,trace_id
11565103,0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371,0,0x222e1f9b77c5998b9c26398e9252979591f0b945,0xecada5efb9ab8b520efa8f00bbf3d42f49be6cec,0,0x5e5f4462e1696da38cfc997a82252167ac25a16580d9730353eb1b9f0c6bbf0e4c82c4d034f780f9e863809bfa700649ae40dc89c73861e0072f9208b85b9e70e6ef5d8c00000000000000000000000000000000000000000000022a1c4fbd543fcc9497000000000000000000000000000000000000000000000005c1d1c13f3a0838b200000000000000000000000000000000000000000000000000000000000000070000000000000000000000000000000000000000000000000000000000000064,,call,call,,177148,,4,,Reverted,0,call_0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371_
11565103,0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371,0,0xecada5efb9ab8b520efa8f00bbf3d42f49be6cec,0x95cc0c3f46ae97b959d5ffa02f0881c1994ee39d,0,0x3af32abf000000000000000000000000222e1f9b77c5998b9c26398e9252979591f0b945,0x0000000000000000000000000000000000000000000000000000000000000001,call,staticcall,,171730,1132,0,0,,0,call_0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371_0
11565103,0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371,0,0xecada5efb9ab8b520efa8f00bbf3d42f49be6cec,0x1c14052e535f47e041091d8de61f352cfd0d37c7,0,0x155bf4e2e1696da38cfc997a82252167ac25a16580d9730353eb1b9f0c6bbf0e4c82c4d0,0x0000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,call,staticcall,,168210,1123,0,1,,0,call_0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371_1
11565103,0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371,0,0xecada5efb9ab8b520efa8f00bbf3d42f49be6cec,0x1c14052e535f47e041091d8de61f352cfd0d37c7,0,0x155bf4e234f780f9e863809bfa700649ae40dc89c73861e0072f9208b85b9e70e6ef5d8c,0x000000000000000000000000ae17f4f5ca32f77ea8e3786db7c0b2fe877ac176,call,staticcall,,164697,1123,0,2,,0,call_0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371_2
11565103,0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371,0,0xecada5efb9ab8b520efa8f00bbf3d42f49be6cec,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,0x38ed173900000000000000000000000000000000000000000000022a1c4fbd543fcc9497000000000000000000000000000000000000000000000005c1d1c13f3a0838b200000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000ecada5efb9ab8b520efa8f00bbf3d42f49be6cec000000000000000000000000000000000000000000000000000000005fee781800000000000000000000000000000000000000000000000000000000000000020000000000000000000000006b175474e89094c44da98b954eedeac495271d0f000000000000000000000000ae17f4f5ca32f77ea8e3786db7c0b2fe877ac176,,call,call,,160306,,1,3,Reverted,0,call_0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371_3
11565103,0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0e236240c4e9a26e4e8d6d516fc2c028f6fdc3bb,0,0x0902f1ac,0x00000000000000000000000000000000000000000001a4034e5899d7b0cb5b65000000000000000000000000000000000000000000000450fe4ded328447aeda000000000000000000000000000000000000000000000000000000005fee69fa,call,staticcall,,154401,1204,0,"3,0",,0,call_0xbf5c565d33f41169ecb05928a58200df13e8c6b6b792d1425f87e87319b3b371_3_0
11565103,0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548,1,0x42709aee22087bb039bdeec8cb1403c7f4ce2aba,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,0x38ed1739000000000000000000000000000000000000000000000001495f933b900a50000000000000000000000000000000000000000000000003e6330ab92bb7e0000000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000042709aee22087bb039bdeec8cb1403c7f4ce2aba000000000000000000000000000000000000000000000000000000005fee6c640000000000000000000000000000000000000000000000000000000000000002000000000000000000000000a7ed29b253d8b4e3109ce07c80fc570f81b636960000000000000000000000006b175474e89094c44da98b954eedeac495271d0f,0x00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000001495f933b900a50000000000000000000000000000000000000000000000003e7b2ed2083fae19fa9,call,call,,476928,92068,3,,,1,call_0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548_
11565103,0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548,1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0379da7a5895d13037b6937b109fa8607a659adf,0,0x0902f1ac,0x00000000000000000000000000000000000000000002f806472aba98b8657d8a0000000000000000000000000000000000000000000000f85f8bf89fed4eeb7b000000000000000000000000000000000000000000000000000000005fee69ef,call,staticcall,,466056,1204,0,0,,1,call_0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548_0
11565103,0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548,1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa7ed29b253d8b4e3109ce07c80fc570f81b63696,0,0x23b872dd00000000000000000000000042709aee22087bb039bdeec8cb1403c7f4ce2aba0000000000000000000000000379da7a5895d13037b6937b109fa8607a659adf000000000000000000000000000000000000000000000001495f933b900a5000,0x0000000000000000000000000000000000000000000000000000000000000001,call,call,,461497,23105,0,1,,1,call_0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548_1
11565103,0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548,1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0379da7a5895d13037b6937b109fa8607a659adf,0,0x022c0d9f0000000000000000000000000000000000000000000003e7b2ed2083fae19fa9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042709aee22087bb039bdeec8cb1403c7f4ce2aba00000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000,0x,call,call,,435348,56940,3,2,,1,call_0x09730afc0cf6e621c74bd92c7c82f69a394c91a7014996ddf2096c9155532548_2
